timestamp,datetime,cpu_temp,vulcan_s1_temp,vulcan_s2_temp
1766488379.9716775,2025-12-23 19:12:59,87.0,58.7,59.2
1766488388.9842935,2025-12-23 19:13:08,86.0,58.7,59.2
1766488400.5572522,2025-12-23 19:13:20,86.0,58.7,59.2
1766488412.6535234,2025-12-23 19:13:32,89.0,58.7,59.2
1766488426.6180925,2025-12-23 19:13:46,87.0,58.7,59.2
1766488436.6036477,2025-12-23 19:13:56,86.0,58.7,59.2
1766488448.0567923,2025-12-23 19:14:08,86.0,58.7,59.2
1766488460.418073,2025-12-23 19:14:20,87.0,58.7,59.2
1766488472.4453177,2025-12-23 19:14:32,90.0,58.7,59.5
1766488483.2480898,2025-12-23 19:14:43,86.0,58.7,59.5
1766488494.5749168,2025-12-23 19:14:54,87.0,58.7,59.5
1766488504.8901322,2025-12-23 19:15:04,87.0,58.7,59.5
1766488516.51582,2025-12-23 19:15:16,87.0,58.7,59.5
1766488527.0960205,2025-12-23 19:15:27,87.0,59.0,59.5
1766488539.2166617,2025-12-23 19:15:39,86.0,59.0,59.5
1766488549.4936116,2025-12-23 19:15:49,87.0,59.0,59.5
1766488562.193575,2025-12-23 19:16:02,87.0,59.0,59.5
1766488573.1067042,2025-12-23 19:16:13,87.0,59.0,59.7
1766488585.1999507,2025-12-23 19:16:25,90.0,59.0,59.7
1766488595.337409,2025-12-23 19:16:35,89.0,59.0,59.7
1766488604.966918,2025-12-23 19:16:44,87.0,59.2,59.7
1766488617.5142913,2025-12-23 19:16:57,82.0,59.2,59.7
1766488628.6818247,2025-12-23 19:17:08,87.0,59.2,59.7
1766488639.463674,2025-12-23 19:17:19,89.0,59.2,59.7
1766488649.1506987,2025-12-23 19:17:29,89.0,59.2,60.0
1766488659.916106,2025-12-23 19:17:39,86.0,59.2,60.0
1766488668.3346596,2025-12-23 19:17:48,87.0,59.5,60.0
1766488680.7431722,2025-12-23 19:18:00,87.0,59.5,60.0
1766488692.478007,2025-12-23 19:18:12,86.0,59.5,60.0
1766488703.3955967,2025-12-23 19:18:23,87.0,59.5,60.0
1766488714.5357816,2025-12-23 19:18:34,87.0,59.5,60.0
1766488724.3083448,2025-12-23 19:18:44,89.0,59.5,60.2
1766488735.8090882,2025-12-23 19:18:55,86.0,59.5,60.2
1766488745.1070447,2025-12-23 19:19:05,87.0,59.5,60.2
1766488755.86793,2025-12-23 19:19:15,89.0,59.7,60.2
1766488766.1893528,2025-12-23 19:19:26,87.0,59.7,60.2
1766488777.8820534,2025-12-23 19:19:37,89.0,59.7,60.2
1766488791.190569,2025-12-23 19:19:51,89.0,59.7,60.5
1766488800.2796657,2025-12-23 19:20:00,90.0,59.7,60.5
